-2.4042,-1.1763
-2.3765,-1.1691
-2.4952,-1.1996
-2.4752,-1.1945
-2.4467,-1.1872
-2.5688,-1.2181
-2.5477,-1.2129
-2.5183,-1.2055
-2.6439,-1.2368
-2.6218,-1.2314
-2.5916,-1.2238
-2.7208,-1.2557
-2.6975,-1.25
-2.6665,-1.2424
-2.7997,-1.2749
-2.7749,-1.2689
-2.7433,-1.2612
-2.8813,-1.2944
-2.8545,-1.288
-2.8225,-1.2804
-2.9637,-1.3139
-2.9358,-1.3073
-2.9039,-1.2998
-3.0449,-1.3329
-3.0174,-1.3265
-2.9857,-1.3191
-3.1271,-1.3518
-3.0996,-1.3455
-3.0669,-1.338
-3.2098,-1.3707
-3.1824,-1.3645
-3.1484,-1.3567
-3.293,-1.3894
-3.2656,-1.3833
-3.2301,-1.3753
-3.3764,-1.408
-3.3492,-1.402
-3.3119,-1.3937
-3.4597,-1.4264
-3.433,-1.4205
-3.3938,-1.4119
-3.5427,-1.4445
-3.5169,-1.4389
-3.4754,-1.4298
-3.6222,-1.4617
-3.5988,-1.4566
-3.5562,-1.4474
-3.6946,-1.4771
-3.6749,-1.4729
-3.635,-1.4644
-3.7752,-1.4942
-3.7532,-1.4896
-3.7103,-1.4805
-3.8564,-1.5113
-3.8333,-1.5064
-3.7887,-1.4971
-3.9357,-1.5278
-3.9128,-1.523
-3.8686,-1.5138
-4.012,-1.5435
-3.9902,-1.539
-3.9484,-1.5304
-4.0883,-1.5591
-4.0669,-1.5547
-4.0268,-1.5465
-4.1288,-1.5673
-4.122,-1.5659
-4.1004,-1.5616
-4.1179,-1.5651
-4.13,-1.5676
-4.1399,-1.5696
-4.4154,-1.6246
-4.1638,-1.5744
-4.1762,-1.5769
-4.2466,-1.591
-4.2073,-1.5832
-4.1441,-1.5704
-4.3472,-1.6111
-4.3087,-1.6034
-4.2556,-1.5928
-4.4778,-1.6368
-4.4257,-1.6266
-4.3627,-1.6142
-4.6197,-1.6643
-4.5574,-1.6523
-4.4879,-1.6388
-4.7274,-1.685
-4.6767,-1.6753
-4.6188,-1.6642
-4.8061,-1.7
-4.7728,-1.6937
-4.7297,-1.6855
-4.8901,-1.7159
-4.8619,-1.7105
-4.8213,-1.7029
-4.9936,-1.7352
-4.9585,-1.7287
-4.9094,-1.7195
-5.1295,-1.7604
-5.0762,-1.7506
-5.0094,-1.7382
-5.2893,-1.7897
-5.2178,-1.7766
-5.1362,-1.7617
-5.4602,-1.8205
-5.3768,-1.8055
-5.2873,-1.7893
-5.648,-1.8539
-5.5525,-1.837
-5.4541,-1.8194
-5.8459,-1.8886
-5.7414,-1.8704
-5.6369,-1.852
-6.0634,-1.9261
-5.9468,-1.9061
-5.8327,-1.8863
-6.2866,-1.964
-6.1633,-1.9432
-6.0444,-1.9229
-6.5257,-2.004
-6.3928,-1.9819
-6.2661,-1.9606
-6.7762,-2.0452
-6.6349,-2.0221
-6.5015,-2
-7.0248,-2.0854
-6.8815,-2.0623
-6.7468,-2.0404
-7.2737,-2.1251
-7.1294,-2.1022
-6.994,-2.0805
-7.5173,-2.1633
-7.3749,-2.1411
-7.2412,-2.1199
-7.7672,-2.202
-7.6226,-2.1797
-7.4865,-2.1585
-8.0192,-2.2405
-7.873,-2.2182
-7.7349,-2.1971
-8.2802,-2.2798
-8.1293,-2.2571
-7.9867,-2.2356
-8.5632,-2.3218
-8.4002,-2.2977
-8.248,-2.275
-8.8587,-2.365
-8.686,-2.3398
-8.5263,-2.3163
-9.1812,-2.4115
-8.9926,-2.3844
-8.8207,-2.3595
-9.5081,-2.4579
-9.3109,-2.43
-9.1371,-2.4052
-9.8457,-2.505
-9.6391,-2.4763
-9.4636,-2.4516
-10.198,-2.5535
-9.9795,-2.5236
-9.8019,-2.499
-10.57,-2.604
-10.336,-2.5723
-10.156,-2.5478
-10.97,-2.6573
-10.713,-2.6231
-10.533,-2.599
-11.364,-2.7092
-11.101,-2.6747
-10.924,-2.6513
-11.766,-2.7612
-11.496,-2.7263
-11.319,-2.7033
-12.175,-2.8133
-11.898,-2.7781
-11.72,-2.7553
-12.593,-2.8658
-12.308,-2.8301
-12.128,-2.8074
-13.022,-2.919
-12.727,-2.8826
-12.546,-2.86
-13.468,-2.9734
