n,time,linearRegression
1,-3.90607426547599,0.2826817987301846
2,0.3780761631146835,0.2966330616419238
3,-0.9162534053125827,0.31058432455366297
4,-2.2333676814153454,0.3245355874654022
5,-1.6495721744459357,0.3384868503771413
6,-2.7302900335209985,0.35243811328888053
7,-2.678277946784987,0.3663893762006197
8,-2.53959413529634,0.3803406391123588
9,-2.429021583090648,0.39429190202409803
10,-2.3550617178206146,0.40824316493583723
11,-2.332267320812676,0.4221944278475764
12,-2.20427948487608,0.43614569075931553
13,-2.1834365133671905,0.45009695367105473
14,-2.048219765422465,0.4640482165827939
15,-1.9866322061391353,0.47799947949453303
16,-1.951145657308003,0.49195074240627223
17,-1.8245986297626817,0.5059020053180114
18,-1.763286134464016,0.5198532682297505
19,-1.6937496690257459,0.5338045311414897
20,-1.6250169418602896,0.5477557940532289
21,-1.5541522398389476,0.561707056964968
22,-1.4967400249112184,0.5756583198767073
23,-1.4345380723050365,0.5896095827884464
24,-1.3627200133129644,0.6035608457001855
25,-1.180208067586902,0.6175121086119248
26,-1.2256441837691066,0.6314633715236639
27,-1.1693921445186706,0.6454146344354031
28,-1.1175378102616131,0.6593658973471423
29,-1.0531252649067195,0.6733171602588814
30,-1.0113201397051532,0.6872684231706206
31,0.044590049800758376,0.7012196860823598
32,-0.8826214601105864,0.7151709489940989
33,-0.211764295799829,0.7291222119058381
34,-0.44856938590077455,0.7430734748175774
35,-0.8213108724675313,0.7570247377293164
36,-0.7219310894452988,0.7709760006410558
37,-0.6711181920129384,0.7849272635527949
38,-0.6223514998258104,0.798878526464534
39,-0.5596432777892884,0.8128297893762733
40,-0.513555164868365,0.8267810522880124
41,0.3313375494552596,0.8407323151997514
42,-0.38421553759116495,0.8546835781114908
43,0.12663880034854255,0.8686348410232299
44,-0.4547703977872572,0.8825861039349692
45,-0.40189698157331916,0.8965373668467083
46,-0.32622338679598395,0.9104886297584474
47,-0.2394980856500343,0.9244398926701867
48,-0.18979162030586488,0.9383911555819258
49,-0.1472801237037848,0.9523424184936649
50,0.5729840883658941,0.9662936814054042
51,-0.10222561330613245,0.9802449443171433
52,0.5498881686223998,0.9941962072288824
53,-0.014197499009806424,1.0081474701406217
54,-0.0017813533000083195,1.0220987330523608
55,0.5053439103369294,1.0360499959641
56,0.4772789382495101,1.0500012588758392
57,0.08396313694469522,1.0639525217875783
58,0.13422253999209574,1.0779037846993176
59,0.6558242726456719,1.0918550476110567
60,0.17209825291405031,1.1058063105227958
61,0.27032423539876865,1.119757573434535
62,0.6860070287697677,1.1337088363462742
63,0.28045492555997115,1.1476600992580133
64,0.3499010130035304,1.1616113621697526
65,0.40306655115425605,1.1755626250814917
66,0.8997045186638817,1.1895138879932308
67,0.4142768659579173,1.20346515090497
68,0.4767564208256107,1.2174164138167092
69,1.1157926838910122,1.2313676767284485
70,0.7530497972349044,1.2453189396401876
71,0.7679346548665498,1.2592702025519267
72,0.8194533880745926,1.273221465463666
73,0.8107730452420803,1.287172728375405
74,0.6384313727248657,1.3011239912871444
75,0.9714285419180879,1.3150752541988835
76,0.709893549450757,1.3290265171106226
77,0.9816357748228989,1.342977780022362
78,1.013178234501576,1.356929042934101
