x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-6.062902040270743e-10,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5,-1.7587847403299007e-5
-9.700643264433188e-9,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5,-7.035160778617007e-5
-4.910950652619301e-8,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725,-0.0001582919356639725
-1.55210292230931e-7,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105,-0.00028140992188376105
-3.789313775169213e-7,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384,-0.00043970709360646384
-7.857521044190881e-7,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921,-0.000633185414281921
-1.4557027798690053e-6,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729,-0.0008618472836167729
-2.483364675694896e-6,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819,-0.0011256955375351819
-3.977870028621635e-6,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748,-0.0014247334481323748
