2800.0000 1.1926 -5.4002 -21.9325
2800.1000 1.1480 -5.4439 -21.9706
2800.2000 1.0940 -5.4285 -21.9508
2800.3000 1.0443 -5.3593 -21.8781
2800.4000 1.0130 -5.2553 -21.7715
2800.5000 1.0119 -5.1451 -21.6614
2800.6000 1.0445 -5.0611 -21.5829
2800.7000 1.1012 -5.0313 -21.5632
2800.8000 1.1614 -5.0677 -21.6093
2800.9000 1.2036 -5.1586 -21.7044
2801.0000 1.2159 -5.2721 -21.8157
2801.1000 1.1974 -5.3705 -21.9085
2801.2000 1.1556 -5.4242 -21.9565
2801.3000 1.1020 -5.4192 -21.9469
2801.4000 1.0503 -5.3583 -21.8823
2801.5000 1.0146 -5.2583 -21.7792
2801.6000 1.0075 -5.1464 -21.6667
2801.7000 1.0345 -5.0550 -21.5796
2801.8000 1.0884 -5.0138 -21.5479
2801.9000 1.1499 -5.0386 -21.5829
2802.0000 1.1968 -5.1217 -21.6717
2802.1000 1.2149 -5.2343 -21.7833
2802.2000 1.2015 -5.3382 -21.8822
2802.3000 1.1630 -5.4017 -21.9398
2802.4000 1.1104 -5.4076 -21.9409
2802.5000 1.0571 -5.3557 -21.8852
2802.6000 1.0172 -5.2608 -21.7868
2802.7000 1.0042 -5.1484 -21.6729
2802.8000 1.0251 -5.0505 -21.5783
2802.9000 1.0755 -4.9983 -21.5347
2803.0000 1.1376 -5.0107 -21.5579
2803.1000 1.1887 -5.0850 -21.6391
2803.2000 1.2127 -5.1952 -21.7496
2803.3000 1.2047 -5.3036 -21.8536
2803.4000 1.1700 -5.3764 -21.9206
2803.5000 1.1189 -5.3934 -21.9326
2803.6000 1.0645 -5.3514 -21.8866
2803.7000 1.0210 -5.2626 -21.7941
2803.8000 1.0021 -5.1509 -21.6802
2803.9000 1.0167 -5.0477 -21.5789
2804.0000 1.0627 -4.9848 -21.5238
2804.1000 1.1245 -4.9846 -21.5345
2804.2000 1.1794 -5.0488 -21.6068
