36000.000 -0.032 0.018
36000.100 -0.029 0.018
36000.200 -0.026 0.016
36000.300 -0.023 0.014
36000.400 -0.021 0.010
36000.500 -0.019 0.006
36000.600 -0.019 0.002
36000.700 -0.019 -0.003
36000.800 -0.020 -0.007
36000.900 -0.021 -0.011
36001.000 -0.023 -0.014
36001.100 -0.026 -0.016
36001.200 -0.029 -0.018
36001.300 -0.032 -0.018
36001.400 -0.035 -0.017
36001.500 -0.038 -0.016
36001.600 -0.041 -0.013
36001.700 -0.043 -0.009
36001.800 -0.044 -0.005
36001.900 -0.044 -0.001
36002.000 -0.044 0.004
36002.100 -0.043 0.008
36002.200 -0.041 0.012
36002.300 -0.039 0.015
36002.400 -0.036 0.017
36002.500 -0.033 0.018
36002.600 -0.030 0.018
36002.700 -0.027 0.017
36002.800 -0.024 0.015
36002.900 -0.022 0.012
36003.000 -0.020 0.008
36003.100 -0.019 0.004
36003.200 -0.019 -0.000
36003.300 -0.019 -0.005
36003.400 -0.020 -0.009
36003.500 -0.022 -0.012
36003.600 -0.024 -0.015
36003.700 -0.027 -0.017
36003.800 -0.030 -0.018
36003.900 -0.034 -0.018
36004.000 -0.037 -0.017
36004.100 -0.039 -0.014
36004.200 -0.042 -0.011
36004.300 -0.043 -0.007
36004.400 -0.044 -0.003
36004.500 -0.044 0.001
36004.600 -0.044 0.006
36004.700 -0.042 0.010
36004.800 -0.040 0.013
36004.900 -0.038 0.016
36005.000 -0.035 0.017
36005.100 -0.032 0.018
36005.200 -0.029 0.018
36005.300 -0.026 0.016
36005.400 -0.023 0.014
36005.500 -0.021 0.010
36005.600 -0.020 0.006
36005.700 -0.019 0.002
36005.800 -0.019 -0.002
36005.900 -0.020 -0.007
36006.000 -0.021 -0.010
36006.100 -0.023 -0.014
36006.200 -0.026 -0.016
36006.300 -0.029 -0.018
36006.400 -0.032 -0.018
36006.500 -0.035 -0.017
36006.600 -0.038 -0.015
36006.700 -0.040 -0.013
36006.800 -0.042 -0.009
36006.900 -0.044 -0.005
36007.000 -0.044 -0.001
36007.100 -0.044 0.003
36007.200 -0.043 0.008
36007.300 -0.041 0.011
36007.400 -0.039 0.014
36007.500 -0.036 0.016
36007.600 -0.033 0.018
36007.700 -0.030 0.018
36007.800 -0.027 0.017
36007.900 -0.024 0.015
36008.000 -0.022 0.012
36008.100 -0.020 0.008
36008.200 -0.019 0.004
36008.300 -0.019 0.000
36008.400 -0.019 -0.004
36008.500 -0.020 -0.008
36008.600 -0.022 -0.012
36008.700 -0.024 -0.015
36008.800 -0.027 -0.017
36008.900 -0.030 -0.018
36009.000 -0.033 -0.018
36009.100 -0.036 -0.016
36009.200 -0.039 -0.014
36009.300 -0.041 -0.011
36009.400 -0.043 -0.007
36009.500 -0.044 -0.003
36009.600 -0.044 0.001
36009.700 -0.044 0.005
36009.800 -0.042 0.009
36009.900 -0.040 0.013
36010.000 -0.038 0.015
36010.100 -0.035 0.017
36010.200 -0.032 0.018
36010.300 -0.029 0.017
36010.400 -0.026 0.016
36010.500 -0.023 0.014
36010.600 -0.021 0.010
36010.700 -0.020 0.007
36010.800 -0.019 0.002
36010.900 -0.019 -0.002
36011.000 -0.020 -0.006
36011.100 -0.021 -0.010
36011.200 -0.023 -0.013
36011.300 -0.026 -0.016
36011.400 -0.029 -0.017
36011.500 -0.032 -0.018
36011.600 -0.035 -0.017
36011.700 -0.038 -0.015
36011.800 -0.040 -0.013
36011.900 -0.042 -0.009
36012.000 -0.044 -0.006
36012.100 -0.044 -0.001
36012.200 -0.044 0.003
36012.300 -0.043 0.007
36012.400 -0.041 0.011
36012.500 -0.039 0.014
36012.600 -0.037 0.016
36012.700 -0.034 0.017
36012.800 -0.030 0.018
36012.900 -0.027 0.017
36013.000 -0.025 0.015
36013.100 -0.022 0.012
36013.200 -0.020 0.009
36013.300 -0.019 0.005
36013.400 -0.019 0.000
36013.500 -0.019 -0.004
36013.600 -0.020 -0.008
36013.700 -0.022 -0.012
36013.800 -0.024 -0.015
36013.900 -0.027 -0.017
36014.000 -0.030 -0.018
36014.100 -0.033 -0.017
36014.200 -0.036 -0.016
36014.300 -0.039 -0.014
36014.400 -0.041 -0.011
36014.500 -0.043 -0.008
36014.600 -0.044 -0.004
36014.700 -0.044 0.001
36014.800 -0.044 0.005
36014.900 -0.042 0.009
36015.000 -0.040 0.012
36015.100 -0.038 0.015
36015.200 -0.035 0.017
36015.300 -0.032 0.018
36015.400 -0.029 0.017
36015.500 -0.026 0.016
36015.600 -0.023 0.014
36015.700 -0.021 0.010
36015.800 -0.020 0.007
36015.900 -0.019 0.002
36016.000 -0.019 -0.002
36016.100 -0.020 -0.006
36016.200 -0.021 -0.010
36016.300 -0.023 -0.013
36016.400 -0.026 -0.016
36016.500 -0.029 -0.017
36016.600 -0.032 -0.018
36016.700 -0.035 -0.017
36016.800 -0.037 -0.015
36016.900 -0.040 -0.013
36017.000 -0.042 -0.010
36017.100 -0.043 -0.006
36017.200 -0.044 -0.001
36017.300 -0.044 0.003
36017.400 -0.043 0.007
36017.500 -0.041 0.011
36017.600 -0.039 0.014
36017.700 -0.037 0.016
36017.800 -0.034 0.017
36017.900 -0.031 0.017
36018.000 -0.028 0.017
36018.100 -0.025 0.015
